repository_name,watches,repository_description,repository_url
elasticsearch,9714,"Open Source, Distributed, RESTful Search Engine",https://github.com/elasticsearch/elasticsearch
storm,8679,"Distributed and fault-tolerant realtime computation: stream processing, continuous computation, distributed RPC, and more",https://github.com/nathanmarz/storm
SlidingMenu,7054,An Android library that allows you to easily create applications with slide-in menus. You may use it in your Android apps provided that you cite this project and include the license in your app. Thanks!,https://github.com/jfeinstein10/SlidingMenu
android,6971,GitHub Android App,https://github.com/github/android
android-async-http,5600,An Asynchronous HTTP Library for Android,https://github.com/loopj/android-async-http
iosched,5543,null,https://github.com/google/iosched
ActionBarSherlock,5420,Library for implementing the action bar design pattern using the native action bar on Android 4.0+ and a custom implementation on pre-4.0 through a single API and theme.,https://github.com/JakeWharton/ActionBarSherlock
picasso,4659,A powerful image downloading and caching library for Android,https://github.com/square/picasso
androidannotations,4490,Fast Android Development. Easy maintainance.,https://github.com/excilys/androidannotations
netty,4453,Netty project - an event-driven asynchronous network application framework,https://github.com/netty/netty
Android-Universal-Image-Loader,4226,"Powerful and flexible library for loading, caching and displaying images on Android.",https://github.com/nostra13/Android-Universal-Image-Loader
retrofit,3871,"Type-safe REST client for Android and Java by Square, Inc.",https://github.com/square/retrofit
libgdx,3830,Desktop/Android/HTML5/iOS Java game development framework,https://github.com/libgdx/libgdx
Android-Bootstrap,3814,Bootstrap style buttons with Font Awesome,https://github.com/Bearded-Hen/Android-Bootstrap
clojure,3813,The Clojure programming language,https://github.com/clojure/clojure
EventBus,3280,"Android optimized event bus that simplifies communication between Activities, Fragments, Threads, Services, etc. Less code, better quality.",https://github.com/greenrobot/EventBus
TextSecure,3268,A secure text messaging application for Android.,https://github.com/WhisperSystems/TextSecure
AndEngine,3152,Free Android 2D OpenGL Game Engine,https://github.com/nicolasgramlich/AndEngine
Android-ViewPagerIndicator,3118,Paging indicator widgets compatible with the ViewPager from the Android Support Library and ActionBarSherlock. Originally based on Patrik Åkerfeldt's ViewFlow.,https://github.com/JakeWharton/Android-ViewPagerIndicator
jenkins,3096,Jenkins Continuous Integration Server,https://github.com/jenkinsci/jenkins
zxing,3078,"Official ZXing (""Zebra Crossing"") project home",https://github.com/zxing/zxing
XobotOS,3055,XobotOS - Android ported to C#,https://github.com/xamarin/XobotOS
phonegap-plugins,3018,Plugins for use with PhoneGap.,https://github.com/phonegap/phonegap-plugins
spring-framework,3016,The Spring Framework,https://github.com/spring-projects/spring-framework
ListViewAnimations,3015,An Android library which allows developers to easily add animations to ListView items,https://github.com/nhaarman/ListViewAnimations
Hystrix,2983,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",https://github.com/Netflix/Hystrix
AndroidStaggeredGrid,2974,An Android staggered grid view which supports multiple columns with rows of varying sizes.,https://github.com/etsy/AndroidStaggeredGrid
okhttp,2965,An HTTP+SPDY client for Android and Java applications.,https://github.com/square/okhttp
cardslib,2879,Android Library to build a UI Card,https://github.com/gabrielemariotti/cardslib
dagger,2831,A fast dependency injector for Android and Java.,https://github.com/square/dagger
presto,2811,Distributed SQL query engine for big data,https://github.com/facebook/presto
Android-PullToRefresh,2745,DEPRECATED,https://github.com/chrisbanes/Android-PullToRefresh
PagerSlidingTabStrip,2741,An interactive indicator to navigate between the different pages of a ViewPager,https://github.com/astuetz/PagerSlidingTabStrip
PhotoView,2739,"Implementation of ImageView for Android that supports zooming, by various touch gestures.",https://github.com/chrisbanes/PhotoView
disruptor,2685,High Performance Inter-Thread Messaging Library,https://github.com/LMAX-Exchange/disruptor
android-bootstrap,2667,A template/bootstrap/boilerplate application that includes tons of great open source tools and frameworks.,https://github.com/donnfelker/android-bootstrap
coursera-android,2663,Source Code for Android Course Example Applications,https://github.com/aporter/coursera-android
springside4,2588,"A Spring Framework based, pragmatic style JavaEE application reference architecture.",https://github.com/springside/springside4
NimbusBase_Android_Tutorial,2583,Syncing your sqlite app data on your user's personal cloud,https://github.com/NimbusBase/NimbusBase_Android_Tutorial
platform_frameworks_base,2566,null,https://github.com/android/platform_frameworks_base
butterknife,2558,"View ""injection"" library for Android.",https://github.com/JakeWharton/butterknife
android-swipelistview,2555,An Android List View implementation with support for drawable cells and many other swipe related features,https://github.com/47deg/android-swipelistview
vert.x,2522,vert.x - Effortless asynchronous application development for the modern web and enterprise,https://github.com/purplefox/vert.x
physical-web,2508,The Physical Web: walk up and use anything,https://github.com/google/physical-web
scribe-java,2491,Simple OAuth library for Java,https://github.com/fernandezpablo85/scribe-java
spring-framework,2487,The Spring Framework,https://github.com/SpringSource/spring-framework
Minecraft-API,2483,Minecraft API development,https://github.com/Mojang/Minecraft-API
Android-PullToRefresh,2339,Implementation of the Pull-to-Refresh UI Pattern for Android,https://github.com/chrisbanes/Android-PullToRefresh
otto,2316,An enhanced Guava-based event bus with emphasis on Android support.,https://github.com/square/otto
GreenDroid,2315,GreenDroid is a development library for the Android platform. It makes UI developments easier and consistent through your applications.,https://github.com/cyrilmottier/GreenDroid
roboguice,2292,"Google Guice on Android, version 2.0",https://github.com/roboguice/roboguice
AndroidSlidingUpPanel,2267,Android Sliding Up Panel Demo,https://github.com/umano/AndroidSlidingUpPanel
android-pulltorefresh,2263,This project aims to provide a reusable pull to refresh widget for Android.,https://github.com/johannilsson/android-pulltorefresh
FizzBuzzEnterpriseEdition,2251,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by a serious businessman for serious business purposes.,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
NineOldAndroids,2244,Android library for using the Honeycomb animation API on all versions of the platform back to 1.0!,https://github.com/JakeWharton/NineOldAndroids
Android-ViewPagerIndicator,2194,Paging indicator widgets compatible with the ViewPager from the Android Support Library and ActionBarSherlock. Originally based on Patrik ��kerfeldt's ViewFlow.,https://github.com/JakeWharton/Android-ViewPagerIndicator
titan,2173,Distributed Graph Database,https://github.com/thinkaurelius/titan
facebook-android-sdk,2168,Facebook SDK for Android,https://github.com/facebook/facebook-android-sdk
drag-sort-listview,2132,Android ListView with drag and drop reordering.,https://github.com/bauerca/drag-sort-listview
RxJava,2106,RxJava - a library for composing asynchronous and event-based programs using observable sequences for the Java VM.,https://github.com/Netflix/RxJava
Crouton,2094,Context sensitive notifications for Android,https://github.com/keyboardsurfer/Crouton
androidquery,2072,AndroidQuery,https://github.com/androidquery/androidquery
junit,2061,A programmer-oriented testing framework for Java.,https://github.com/junit-team/junit
greenDAO,2041,greenDAO is a light & fast ORM solution for Android that maps objects to SQLite databases.,https://github.com/greenrobot/greenDAO
gradle,2024,A powerful build system for the JVM,https://github.com/gradle/gradle
jedis,2006,A blazingly small and sane redis java client,https://github.com/xetorthio/jedis
AndroidViewAnimations,1981,Cute view animation collection.,https://github.com/daimajia/AndroidViewAnimations
Android-Universal-Image-Loader,1972,"Powerful and flexible instrument for asynchronous loading, caching and displaying images on Android.",https://github.com/nostra13/Android-Universal-Image-Loader
java-design-patterns,1971,Design pattern samples implemented in Java,https://github.com/iluwatar/java-design-patterns
ActionBarSherlock,1907,Action bar implementation which uses the native action bar on Android 4.0+ and a custom implementation on pre-4.0 through a single API and theme.,https://github.com/JakeWharton/ActionBarSherlock
FadingActionBar,1906,"Android library implementing a fading effect for the action bar, similar to the one found in the Play Music app",https://github.com/ManuelPeinado/FadingActionBar
spark,1902,A Sinatra inspired framework for java,https://github.com/perwendel/spark
android-menudrawer,1896,"A slide-out menu implementation, which allows users to navigate between views in your app.",https://github.com/SimonVT/android-menudrawer
ActionBar-PullToRefresh,1890,A modern implementation of the pull-to-refresh interaction for #android,https://github.com/chrisbanes/ActionBar-PullToRefresh
ActiveAndroid,1887,Active record style SQLite persistence for Android,https://github.com/pardom/ActiveAndroid
AndroidSwipeLayout,1886,The Most Powerful Swipe Layout!,https://github.com/daimajia/AndroidSwipeLayout
OpenRefine,1883,"OpenRefine is a free, open source power tool for working with messy data and improving it",https://github.com/OpenRefine/OpenRefine
SmoothProgressBar,1874,A small Android library allowing you to have a smooth and customizable horizontal indeterminate ProgressBar,https://github.com/castorflex/SmoothProgressBar
SimianArmy,1845,Tools for keeping your cloud operating in top form. Chaos Monkey is a resiliency tool that helps applications tolerate random instance failures.,https://github.com/Netflix/SimianArmy
cw-omnibus,1832,Source code to omnibus edition of _The Busy Coder's Guide to Android Development_,https://github.com/commonsguy/cw-omnibus
StickyListHeaders,1780,An android library for section headers that stick to the top,https://github.com/emilsjolander/StickyListHeaders
android-best-practices,1762,"Do's and Don'ts for Android development, by Futurice developers",https://github.com/futurice/android-best-practices
AndroidAsync,1760,"Asynchronous socket, http (client+server), websocket, and socket.io library for android. Based on nio, not threads.",https://github.com/koush/AndroidAsync
acra,1752,Application Crash Reports for Android,https://github.com/ACRA/acra
jsoup,1729,"jsoup: Java HTML Parser, with best of DOM, CSS, and jquery",https://github.com/jhy/jsoup
metrics,1719,Capturing JVM- and application-level metrics. So you know what's going on.,https://github.com/codahale/metrics
FreeFlow,1714,A layout engine for Android that decouples layouts from the View containers that manage scrolling and view recycling. FreeFlow makes it really easy to create custom layouts and beautiful transition animations as data and layouts change,https://github.com/Comcast/FreeFlow
intellij-community,1710,IntelliJ IDEA Community Edition,https://github.com/JetBrains/intellij-community
rootbeer1,1673,Rootbeer GPU Compiler,https://github.com/pcpratts/rootbeer1
j2objc,1669,A Java to iOS Objective-C translation tool and runtime.,https://github.com/google/j2objc
CraftBukkit,1665,The Minecraft Server Mod API Implementation,https://github.com/Bukkit/CraftBukkit
glide,1637,An image loading and caching library for Android focused on smooth scrolling,https://github.com/bumptech/glide
android-times-square,1635,Standalone Android widget for picking a single date from a calendar view.,https://github.com/square/android-times-square
k-9,1625,"K-9 Mail, An advanced email client for Android",https://github.com/k9mail/k-9
circular-progress-button,1623,Android Circular Progress Button,https://github.com/dmytrodanylyk/circular-progress-button
MaterialDesignLibrary,1600,This is a library with components of Android L to you use in android 2.2,https://github.com/navasmdc/MaterialDesignLibrary
droidicon,1556,"Over 1600 customizable icons for Android including 750+ Google Material Design icons, 25 ready-made social badges, and more!",https://github.com/theDazzler/droidicon
yuicompressor,1552,YUI Compressor,https://github.com/yui/yuicompressor
android-viewflow,1548,A horizontal view scroller library for Android,https://github.com/pakerfeldt/android-viewflow
dropwizard,1545,A damn simple library for building production-ready RESTful web services.,https://github.com/dropwizard/dropwizard
ion,1540,Android Asynchronous Networking and Image Loading,https://github.com/koush/ion
android-viewbadger,1528,"A simple way to ""badge"" any given Android view at runtime without having to cater for it in layout",https://github.com/jgilfelt/android-viewbadger
weiciyuan,1518,Sina Weibo Android Client,https://github.com/qii/weiciyuan
xUtils,1512,"android orm, bitmap, http, view inject...",https://github.com/wyouflf/xUtils
processing,1497,Source code for the Processing Development Environment (PDE),https://github.com/processing/processing
h2o,1470,"h2o = fast statistical, machine learning & math runtime for bigdata",https://github.com/0xdata/h2o
Arduino,1455,open-source electronics prototyping platform,https://github.com/arduino/Arduino
dropwizard,1450,A damn simple library for building production-ready RESTful web services.,https://github.com/codahale/dropwizard
jna,1414,Java Native Access,https://github.com/twall/jna
android-flip,1411,"A component for flip animation on Android, which is similar to the effect in Flipboard iPhone/Android",https://github.com/openaphid/android-flip
http-request,1405,Java HTTP Request Library,https://github.com/kevinsawicki/http-request
hazelcast,1399,Open Source In-Memory Data Grid,https://github.com/hazelcast/hazelcast
Android-SlideExpandableListView,1389,"A better ExpandableListView, with animated expandable views for each list item",https://github.com/tjerkw/Android-SlideExpandableListView
ambrose,1384,A platform for visualization and real-time monitoring of data workflows,https://github.com/twitter/ambrose
processing-js,1372,A port of the Processing visualization language to JavaScript.,https://github.com/processing-js/processing-js
